"Relative Time (Process)","experiment-human-data - system/gpu.process.0.memoryAllocated","experiment-human-data - system/gpu.process.0.memoryAllocated__MIN","experiment-human-data - system/gpu.process.0.memoryAllocated__MAX"
"13170.613358","87.41","87.41","87.41"
"13200.614033","87.41","87.41","87.41"
"13230.614992","87.41","87.41","87.41"
"13260.615782","87.41","87.41","87.41"
"13290.61648","87.41","87.41","87.41"
"13320.617142","87.41","87.41","87.41"
"13350.617636","87.41","87.41","87.41"
"13380.618413","87.41","87.41","87.41"
"13410.619247","87.41","87.41","87.41"
"13440.620008","87.41","87.41","87.41"
"13470.620847","87.41","87.41","87.41"
"13500.621509","87.41","87.41","87.41"
"13560.622737","87.41","87.41","87.41"
"13590.623322","87.41","87.41","87.41"
"13620.624075","87.41","87.41","87.41"
"13650.624814","87.41","87.41","87.41"
"13680.625544","87.41","87.41","87.41"
"13710.626391","87.41","87.41","87.41"
"13740.627289","87.41","87.41","87.41"
"13770.627885","87.41","87.41","87.41"
"13800.628351","87.41","87.41","87.41"
"13830.628871","87.41","87.41","87.41"
"13860.629479","87.41","87.41","87.41"
"13890.629943","87.41","87.41","87.41"
"13920.630958","87.41","87.41","87.41"
"13950.631454","87.41","87.41","87.41"
"13980.632075","87.41","87.41","87.41"
"14010.633009","87.41","87.41","87.41"
"14040.633743","87.41","87.41","87.41"
"14070.634313","87.41","87.41","87.41"
"14100.634984","87.41","87.41","87.41"
"14130.635411","87.41","87.41","87.41"
"14160.635834","87.41","87.41","87.41"
"14190.636365","87.41","87.41","87.41"
"14220.637173","87.41","87.41","87.41"
"14250.637869","87.41","87.41","87.41"
"14280.638729","87.41","87.41","87.41"
"14310.639937","87.41","87.41","87.41"
"14340.64077","87.41","87.41","87.41"
"14370.641652","87.41","87.41","87.41"
"14400.642347","87.41","87.41","87.41"
"14430.642991","87.41","87.41","87.41"
"14460.643535","87.41","87.41","87.41"
"14490.644346","87.41","87.41","87.41"
"14520.645063","87.41","87.41","87.41"
"14550.645888","87.41","87.41","87.41"
"14580.646852","87.41","87.41","87.41"
"14610.64767","87.41","87.41","87.41"
"14640.64836","87.41","87.41","87.41"
"14670.649298","87.41","87.41","87.41"
"14700.650161","87.41","87.41","87.41"
"14730.650958","87.41","87.41","87.41"
"14760.651848","87.41","87.41","87.41"
"14790.652785","87.41","87.41","87.41"
"14820.653523","87.41","87.41","87.41"
"14850.654283","87.41","87.41","87.41"
"14880.655073","87.41","87.41","87.41"
"14910.655773","87.41","87.41","87.41"
"14940.656516","87.41","87.41","87.41"
"14970.657248","87.41","87.41","87.41"
"15000.657909","87.41","87.41","87.41"
"15030.658548","87.41","87.41","87.41"
"15060.659251","87.41","87.41","87.41"
"15090.660095","87.41","87.41","87.41"
"15120.66082","87.41","87.41","87.41"
"15150.661371","87.41","87.41","87.41"
"15180.662186","87.41","87.41","87.41"
"15210.663031","87.41","87.41","87.41"
"15240.663607","87.41","87.41","87.41"
"15270.66431","87.41","87.41","87.41"
"15300.665021","87.41","87.41","87.41"
"15330.665788","87.41","87.41","87.41"
"15360.666534","87.41","87.41","87.41"
"15390.667011","87.41","87.41","87.41"
"15420.667496","87.41","87.41","87.41"
"15450.668015","87.41","87.41","87.41"
"15480.668729","87.41","87.41","87.41"
"15510.669389","87.41","87.41","87.41"
"15540.669893","87.41","87.41","87.41"
"15570.670476","87.41","87.41","87.41"
"15600.67132","87.41","87.41","87.41"
"15630.671956","87.41","87.41","87.41"
"15660.672746","87.41","87.41","87.41"
"15690.673255","87.41","87.41","87.41"
"15720.67391","87.41","87.41","87.41"
"15750.674533","87.41","87.41","87.41"
"15780.675002","87.41","87.41","87.41"
"15810.675578","87.41","87.41","87.41"
"15840.676062","87.41","87.41","87.41"
"15870.676732","87.41","87.41","87.41"
"15900.677358","87.41","87.41","87.41"
"15930.677998","87.41","87.41","87.41"
"15960.678652","87.41","87.41","87.41"
"15990.679353","87.41","87.41","87.41"
"16020.680153","87.41","87.41","87.41"
"16050.680933","87.41","87.41","87.41"
"16080.681505","87.41","87.41","87.41"
"16110.682197","87.41","87.41","87.41"
"16140.682978","87.41","87.41","87.41"
"16170.683804","87.41","87.41","87.41"
"16200.684519","87.41","87.41","87.41"
"16230.685292","87.41","87.41","87.41"
"16260.686195","87.41","87.41","87.41"
"16290.687061","87.41","87.41","87.41"
"16320.687949","87.41","87.41","87.41"
"16350.688499","87.41","87.41","87.41"
"16380.689462","87.41","87.41","87.41"
"16410.690184","87.41","87.41","87.41"
"16440.691055","87.41","87.41","87.41"
"16470.691888","87.41","87.41","87.41"
"16500.692489","87.41","87.41","87.41"
"16530.693257","87.41","87.41","87.41"
"16560.693908","87.41","87.41","87.41"
"16590.694602","87.41","87.41","87.41"
"16620.695254","87.41","87.41","87.41"
"16650.696163","87.41","87.41","87.41"
"16680.696838","87.41","87.41","87.41"
"16710.69754","87.41","87.41","87.41"
"16740.69825","87.41","87.41","87.41"
"16770.699151","87.41","87.41","87.41"
"16800.700043","87.41","87.41","87.41"
"16830.700805","87.41","87.41","87.41"
"16860.701618","87.41","87.41","87.41"
"16890.702337","87.41","87.41","87.41"
"16920.703293","87.41","87.41","87.41"
"16950.704235","87.41","87.41","87.41"
"16980.705101","87.41","87.41","87.41"
"17010.705946","87.41","87.41","87.41"
"17040.706697","87.41","87.41","87.41"
"17070.70732","87.41","87.41","87.41"
"17100.70777","87.41","87.41","87.41"
"17130.708229","87.41","87.41","87.41"
"17160.708894","87.41","87.41","87.41"
"17190.709518","87.41","87.41","87.41"
"17220.709967","87.41","87.41","87.41"
"17250.710386","87.41","87.41","87.41"
"17280.710935","87.41","87.41","87.41"
"17310.711794","87.41","87.41","87.41"
"17340.712489","87.41","87.41","87.41"
"17370.713024","87.41","87.41","87.41"
"17400.713598","87.41","87.41","87.41"
"17430.714354","87.41","87.41","87.41"
"17460.714808","87.41","87.41","87.41"
"17490.715344","87.41","87.41","87.41"
"17520.716083","87.41","87.41","87.41"
"17550.716764","87.41","87.41","87.41"
"17580.717451","87.41","87.41","87.41"
"17610.717997","87.41","87.41","87.41"
"17640.718726","87.41","87.41","87.41"
"17670.719527","87.41","87.41","87.41"
"17700.720235","87.41","87.41","87.41"
"17730.720959","87.41","87.41","87.41"
"17760.721986","87.41","87.41","87.41"
"17790.722634","87.41","87.41","87.41"
"17820.72344","87.41","87.41","87.41"
"17850.724564","87.41","87.41","87.41"
"17880.725249","87.41","87.41","87.41"
"17910.725941","87.41","87.41","87.41"
"17940.726683","87.41","87.41","87.41"
"17970.727399","87.41","87.41","87.41"
"18000.728139","87.41","87.41","87.41"
"18030.728965","87.41","87.41","87.41"
"18060.72979","87.41","87.41","87.41"
"18090.730515","87.41","87.41","87.41"
"18120.73119","87.41","87.41","87.41"
"18150.731727","87.41","87.41","87.41"
"18180.732652","87.41","87.41","87.41"
"18210.733472","87.41","87.41","87.41"
"18240.734218","87.41","87.41","87.41"
"18270.734929","87.41","87.41","87.41"
"18300.735655","87.41","87.41","87.41"
"18330.736446","87.41","87.41","87.41"
"18360.737168","87.41","87.41","87.41"
"18390.737971","87.41","87.41","87.41"
"18420.738842","87.41","87.41","87.41"
"18450.739358","87.41","87.41","87.41"
"18480.740053","87.41","87.41","87.41"
"18510.740977","87.41","87.41","87.41"
"18540.741787","87.41","87.41","87.41"
"18570.742453","87.41","87.41","87.41"
"18600.74331","87.41","87.41","87.41"
"18630.744172","87.41","87.41","87.41"
"18660.74469","87.41","87.41","87.41"
"18690.745214","87.41","87.41","87.41"
"18720.745845","87.41","87.41","87.41"
"18750.746298","87.41","87.41","87.41"
"18780.746782","87.41","87.41","87.41"
"18810.747349","87.41","87.41","87.41"
"18840.748082","87.41","87.41","87.41"
"18870.748573","87.41","87.41","87.41"
"18900.749185","87.41","87.41","87.41"
"18930.749843","87.41","87.41","87.41"
"18960.750295","87.41","87.41","87.41"
"18990.750766","87.41","87.41","87.41"
"19020.751206","87.41","87.41","87.41"
"19050.751746","87.41","87.41","87.41"
"19080.752557","87.41","87.41","87.41"
"19110.753496","87.41","87.41","87.41"
"19140.754674","87.41","87.41","87.41"
"19170.755539","87.41","87.41","87.41"
"19200.756407","87.41","87.41","87.41"
"19230.757237","87.41","87.41","87.41"
"19260.758012","87.41","87.41","87.41"
"19290.758811","87.41","87.41","87.41"
"19320.759446","87.41","87.41","87.41"
"19350.760411","87.41","87.41","87.41"
"19380.764815","87.41","87.41","87.41"
"19410.765541","87.41","87.41","87.41"
"19440.766252","87.41","87.41","87.41"
"19470.768764","87.41","87.41","87.41"
"19500.769426","87.41","87.41","87.41"
"19530.770236","87.41","87.41","87.41"
"19560.77089","87.41","87.41","87.41"
"19590.771433","87.41","87.41","87.41"
"19620.772489","87.41","87.41","87.41"
"19650.77322","87.41","87.41","87.41"
"19680.774137","87.41","87.41","87.41"
"19710.774917","87.41","87.41","87.41"
"19740.775821","87.41","87.41","87.41"
"19770.776683","87.41","87.41","87.41"
"19800.77748","87.41","87.41","87.41"
"19830.77803","87.41","87.41","87.41"
"19860.77872","87.41","87.41","87.41"
"19890.779531","87.41","87.41","87.41"
"19920.780437","87.41","87.41","87.41"
"19950.781073","87.41","87.41","87.41"
"19980.781808","87.41","87.41","87.41"
"20010.782591","87.41","87.41","87.41"
"20040.783522","87.41","87.41","87.41"
"20070.784235","87.41","87.41","87.41"
"20100.785276","87.41","87.41","87.41"
"20130.786116","87.41","87.41","87.41"
"20160.786974","87.41","87.41","87.41"
"20190.78781","87.41","87.41","87.41"
"20220.788752","87.41","87.41","87.41"
"20250.789429","87.41","87.41","87.41"
"20280.789903","87.41","87.41","87.41"
"20310.790514","87.41","87.41","87.41"
"20340.791234","87.41","87.41","87.41"
"20370.791716","87.41","87.41","87.41"
"20400.792199","87.41","87.41","87.41"
"20430.792748","87.41","87.41","87.41"
"20460.793581","87.41","87.41","87.41"
"20490.794092","87.41","87.41","87.41"
