"Relative Time (Process)","experiment-human-data - system/gpu.process.0.memoryAllocatedBytes","experiment-human-data - system/gpu.process.0.memoryAllocatedBytes__MIN","experiment-human-data - system/gpu.process.0.memoryAllocatedBytes__MAX"
"55681.74922","21111898112","21111898112","21111898112"
"55711.749967","21111898112","21111898112","21111898112"
"55741.750849","21111898112","21111898112","21111898112"
"55771.751705","21111898112","21111898112","21111898112"
"55801.752445","21111898112","21111898112","21111898112"
"55831.75315","21111898112","21111898112","21111898112"
"55861.753807","21111898112","21111898112","21111898112"
"55891.75431","21111898112","21111898112","21111898112"
"55921.754851","21111898112","21111898112","21111898112"
"55951.755547","21111898112","21111898112","21111898112"
"55981.756277","21111898112","21111898112","21111898112"
"56011.756795","21111898112","21111898112","21111898112"
"56041.757543","21111898112","21111898112","21111898112"
"56071.758189","21111898112","21111898112","21111898112"
"56101.758805","21111898112","21111898112","21111898112"
"56131.759673","21111898112","21111898112","21111898112"
"56161.760142","21111898112","21111898112","21111898112"
"56191.760643","21111898112","21111898112","21111898112"
"56221.761094","21111898112","21111898112","21111898112"
"56251.76186","21111898112","21111898112","21111898112"
"56281.762564","21111898112","21111898112","21111898112"
"56311.763493","21111898112","21111898112","21111898112"
"56341.764409","21111898112","21111898112","21111898112"
"56371.765218","21111898112","21111898112","21111898112"
"56401.766033","21111898112","21111898112","21111898112"
"56431.766917","21111898112","21111898112","21111898112"
"56461.767478","21111898112","21111898112","21111898112"
"56491.768125","21111898112","21111898112","21111898112"
"56521.768689","21111898112","21111898112","21111898112"
"56551.769394","21111898112","21111898112","21111898112"
"56581.770084","21111898112","21111898112","21111898112"
"56611.770807","21111898112","21111898112","21111898112"
"56641.771525","21111898112","21111898112","21111898112"
"56671.772286","21111898112","21111898112","21111898112"
"56701.773099","21111898112","21111898112","21111898112"
"56731.773841","21111898112","21111898112","21111898112"
"56761.774773","21111898112","21111898112","21111898112"
"56791.775499","21111898112","21111898112","21111898112"
"56821.77621","21111898112","21111898112","21111898112"
"56851.776907","21111898112","21111898112","21111898112"
"56881.777704","21111898112","21111898112","21111898112"
"56911.778423","21111898112","21111898112","21111898112"
"56941.779111","21111898112","21111898112","21111898112"
"56971.779881","21111898112","21111898112","21111898112"
"57001.780819","21111898112","21111898112","21111898112"
"57031.781632","21111898112","21111898112","21111898112"
"57061.782774","21111898112","21111898112","21111898112"
"57091.783405","21111898112","21111898112","21111898112"
"57121.783974","21111898112","21111898112","21111898112"
"57151.784821","21111898112","21111898112","21111898112"
